
2023/12/18 (00:58:41) | ===> btop++ v.1.2.13
2023/12/18 (00:58:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (02:07:47) | ===> btop++ v.1.2.13
2023/12/18 (02:07:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (03:13:05) | ===> btop++ v.1.2.13
2023/12/18 (03:13:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (15:06:28) | ===> btop++ v.1.2.13
2023/12/18 (15:06:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/05/27 (22:01:25) | ===> btop++ v.1.3.2
2024/05/27 (22:01:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/27 (22:03:42) | ===> btop++ v.1.3.2
2024/05/27 (22:03:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/02 (19:04:27) | ===> btop++ v.1.3.2
2024/07/02 (19:04:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/02 (19:04:49) | ===> btop++ v.1.3.2
2024/07/02 (19:04:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/03 (22:35:24) | ===> btop++ v.1.3.2
2024/07/03 (22:35:24) | WARNING: Failed to set locale UTF-8 continuing anyway.
